"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","peripheral_lib:BUZZ_12x8mm-1206S","~"
"C1","1","47uF/25V","","","","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm",""
"C2,C4,C6","3","0.1 uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf"
"C3","1","10uF","","","","Capacitor_SMD:C_Elec_4x5.4",""
"C5","1","22uF","","","","Capacitor_SMD:C_Elec_5x5.4",""
"C7,C10","2","0.1 uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf"
"C8,C9","2","100 nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf"
"D1,D2,D3,D4","4","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"D5","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"F1","1","Polyfuse","","","","Fuse:Fuse_Bourns_MF-RG400","~"
"G1","1","OSHW_Logo","","Excluded from BOM","","PCM_SparkFun-Aesthetic:OSHW_Logo_6mm",""
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.5mm","~"
"J1","1","Barrel_Jack","","","","peripheral_lib:DCJack","~"
"J2","1","5V_rail","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"J3","1","3.3V_rail","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"J6,J9,J10,J12","4","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J7,J8","2","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J11","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J13","1","Conn_01x06_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J14","1","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"JP1","1","Jumper_3_Bridged12","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"Q1","1","BC547","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R2,R3,R4","4","330","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R5,R6,R7,R8,R12","5","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R9,R10,R15,R16","4","4.7k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R11","1","LDR07","","","","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","http://www.tme.eu/de/Document/f2e3ad76a925811312d226c31da4cd7e/LDR07.pdf"
"R13","1","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R14","1","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"RV1,RV2","2","10k","","","","Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal","~"
"SW1,SW2,SW3,SW4","4","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW6","1","Slide Sw","","","","PCM_SparkFun-Switch:Slide_SPDT_PTH_11.6x4.0mm","https://www.sparkfun.com/datasheets/Components/Buttons/P040040c.pdf"
"U1","1","MP1584 step down Module","","","","MP1584 STEP DOWN:MP1584 STEP DOWN MODULE - PCB","http://ali.pub/53j9ob"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
